City,State,Population,Latitude,Longitude
New York,NY,8804190,40.714,-74.007
Los Angeles,CA,3898747,34.052,-118.243
Chicago,IL,2746388,41.882,-87.628
Houston,TX,2304580,29.76,-95.363
Phoenix,AZ,1608139,33.448,-112.074
Philadelphia,PA,1603797,39.952,-75.164
San Antonio,TX,1434625,29.423,-98.49
San Diego,CA,1386932,32.716,-117.165
Dallas,TX,1304379,32.781,-96.797
San Jose,CA,1013240,37.336,-121.891
Austin,TX,961855,30.268,-97.743
Jacksonville,FL,949611,30.328,-81.657
Fort Worth,TX,918915,32.754,-97.331
Columbus,OH,905748,39.962,-83.001
Indianapolis,IN,887642,39.769,-86.158
Charlotte,NC,874579,35.227,-80.843
San Francisco,CA,873965,37.78,-122.414
Seattle,WA,737015,47.607,-122.338
Denver,CO,715522,39.739,-104.987
Washington,DC,689545,38.895,-77.036
Nashville,TN,689447,36.164,-86.783
Oklahoma City,OK,681054,35.468,-97.516
El Paso,TX,678815,31.76,-106.488
Boston,MA,675647,42.359,-71.057
Portland,OR,652503,45.519,-122.679
Las Vegas,NV,641903,36.171,-115.144
Detroit,MI,639111,42.332,-83.047
Memphis,TN,633104,35.146,-90.052
Louisville,KY,633045,38.257,-85.757
Baltimore,MD,585708,39.289,-76.615
Milwaukee,WI,577222,43.042,-87.905
Albuquerque,NM,564559,35.084,-106.652
Tucson,AZ,542629,32.222,-110.973
Fresno,CA,542107,36.737,-119.789
Sacramento,CA,524943,38.577,-121.496
Kansas City,MO,508090,39.104,-94.583
Mesa,AZ,504258,33.415,-111.831
Atlanta,GA,498715,33.749,-84.39
Omaha,NE,486051,41.26,-95.94
Colorado Springs,CO,478961,38.832,-104.822
Raleigh,NC,467665,35.78,-78.639
Long Beach,CA,466742,33.768,-118.192
Virginia Beach,VA,459470,36.845,-75.974
Miami,FL,442241,25.774,-80.192
Oakland,CA,440646,37.804,-122.271
Minneapolis,MN,429954,44.977,-93.272
Tulsa,OK,413066,36.153,-95.991
Bakersfield,CA,403455,35.373,-119.019
